,question,id,normalized_aliases,category,judgment,reasoning,model_short_answer,em,f1
48,"Who, during a radio microphone test in 1984 said, 'I just signed legislation which outlaws Russia forever The bombing begins in five minutes?",sfq_7537,"['reagan ronald wilson', 'reaganesque', 'ronald raegan', 'ronald reagon', 'ronald reagan s alzheimer s letter', 'ronald reagan', 'ronald w reagan', 'president reagan', 'reagan', 'reaganite', 'ronnie reagan', 'public image of ronald reagan', 'ronald reagen', 'reagan president', 'ronald regean', 'ronald regan', 'ronald wilson reagan', 'dutch reagan', '40th president of united states', 'reagen', 'ronald reagan presidential campaign 1976', 'ronaldus magnus', 'president regan', 'president ronald reagan', 'ronal reagan', 'ronald reagan centennial commission', 'health of ronald reagan', 'ronald raegen', 'cultural and political image of ronald reagan', 'reaganian', 'ronald reagan centennial commission act', 'reagan ronald']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""radio microphone test in 1984"" lacks clarity on the specific event, context, or source. The quote provided is likely fictional or from a specific media reference (e.g., a movie, TV show, or satirical work), but the referent is ambiguous without additional context. The question relies on external knowledge to identify the exact event, which is not explicitly provided.",['*   Ronald Reagan'],1,1.0
49,What is the small club used for killing landed fish called,bt_2552,"['priest film', 'priest', 'priest movie', 'priest disambiguation']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""club"" is not a standard or widely recognized term for a fishing tool used to kill landed fish. The referent is unclear, as ""club"" could be interpreted in multiple ways (e.g., a physical object, a metaphorical term, or a regional term). Without clarification, the question lacks a clear referent or standard.",['*   Priest'],1,1.0
50,"Which word completes the title of a Marina Lewycka book: 'A Short History Of ....', in Ukrainian?",odql_5737,"['row crop', 'compact utility tractor', 'agricultural vehicles', 'tractor model', 'great tractor wars', 'agrotractor', 'steam negro', 'great tractor war', '🚜', 'nebraska tractor test', 'rowcrop', 'tractor safety', 'row crop tractors', 'farm tractor', 'tractors', 'agricultural tractor', 'tractor war', 'classic tractor', 'tractor', 'tractor wars', 'row crop tractor', 'agricultural tractors']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""A Short History Of ..."" is incomplete, and the missing word depends on the specific book title. While ""A Short History of the World"" is a well-known work by Marina Lewycka, the user’s question lacks clarity on whether the title is in English or Ukrainian, and whether the missing word refers to the subject (e.g., ""the World"") or the translation. Without specifying the exact title or context, the referent remains ambiguous.",['*   Тракторів'],0,0.0
51,In which events did Gert Fredriksson win six Olympic gold medals?,tc_1730,"['canoeing', 'canoeist', 'canoer', 'paddler', 'canoe flatwater racing', 'canoers', 'flatwater', 'canoing', 'competitive canoeing', 'flatwater canoeing']",Undetermined lexicons or references,underspecified,"The request is underspecified because the referent ""Gert Fredriksson"" is not a recognized Olympic athlete, and there is no verified historical record of an athlete with this name winning six Olympic gold medals. The question relies on a non-existent or misidentified referent, making it impossible to provide a factual answer.","['*   K1 1000m (1948, 1952, 1956)\n*   K1 10000m (1948, 1956)\n*   K2 1000m (1956)']",0,0.0
52,"What proper noun links titles by Bjork, Bananarama, Shocking Blue and Mark Wynter?",dpql_5795,['venus'],Undetermined lexicons or references,underspecified,"The request is underspecified because the term “proper noun” is ambiguous in this context. It could refer to a specific name, a title, or a shared term that links the artists, but without further clarification, the referent is unclear.",['*   Venus'],1,1.0
53,"French for an additive, and a Venezuelan liberator of Ecuador, Bolivia and Peru from Spain, what was the currency of Ecuador before adopting the US dollar in the early 2000s?",bb_1793,"['chuquisaca sucre', 'sucre bolivia', 'sucre chuquisaca', 'sucre', 'historic city of sucre', 'constitutional capital of bolivia', 'sucre city', 'sucre oropeza', 'sucer']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""French for an additive"" is irrelevant to the question about Ecuador's currency, and the mention of a ""Venezuelan liberator"" introduces extraneous context that does not affect the currency question. The core request is clear (Ecuador's pre-US dollar currency), but the inclusion of unrelated details complicates the interpretation. The user may have intended to test whether the assistant can focus on the main query despite extraneous information.",['*   Additif\n*   Simón Bolívar\n*   Sucre'],0,0.4
54,What is a “Scotch Bonnet”?,qg_3158,"['green chilies', 'chili peppers', 'hot pepper', 'chili pepper', 'hot peppers', 'chile peppers', 'red chillies', 'chilly pepper', 'green chile', 'green chili', 'green chillies', 'dahon ng sili', 'chile capsicum', 'chilli pepper', 'chile pepper', 'chilli peppers', 'red chile', 'red chili', 'chillies', 'chilli', 'gochoo', '🌶', 'chili capsicum']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Scotch Bonnet"" can refer to multiple distinct concepts: a type of chili pepper or a type of hat. Without clarifying which referent is intended, the question remains ambiguous and requires additional context to resolve.",['*   A type of chili pepper\n*   Known for its extreme heat\n*   Commonly used in Caribbean cuisine'],0,0.25
55,"Which car manufacturer produces models called Concerto, Inspire, Legend, Torneo, etc?",sfq_9379,"['honda werther', '本田', 'soltec', 'honda soltec', 'honda motor manufacturing', 'honda atv', 'honda technologies', 'honda corporation', 'hero honda passion plus', 'honda motorcycle', 'honda motorcycles', 'honda 300ex', 'honda motor company', 'honda primo', 'honda group', 'honda motor co ltd', 'honda motor co', 'honda verno', 'honda clio', 'honda motor company limited', 'honda cl145', 'honda outboard', 'honda motor company inc', 'cbr 150', 'honda', 'honda automobile', 'honda motor']",Undetermined lexicons or references,underspecified,"The request is underspecified because the car models listed (Concerto, Inspire, Legend, Torneo, etc.) are not all associated with a single manufacturer. For example, ""Inspire"" is a Honda model, ""Legend"" is a Ford model, and ""Torneo"" is a Fiat model. Without clarifying which specific models or manufacturer is intended, the question lacks a clear referent and requires additional context to resolve ambiguity.",['*   Honda'],1,1.0
56,'Cape Cod Salad' is an exotic summer dish centred,odql_686,['lobster'],Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “entred” is incomplete and lacks a clear referent, making it impossible to determine the exact focus of the dish. Additionally, the phrase “exotic summer dish” is vague and could refer to multiple interpretations, leaving the question underspecified.",['*   Cranberries'],0,0.0
57,Who was the author of 'The Overloaded Ark'?,qf_567,"['gerald malcolm durrell', 'gerald m durrell', 'gerry durrell', 'gerald durrell']",Undetermined lexicons or references,underspecified,"The request is underspecified because the title ""The Overloaded Ark"" does not correspond to a widely recognized or established book, making it unclear whether the reference is to a real work, a fictional title, or a misspelling of a known book. Without additional context or clarification, the referent remains ambiguous.",['*   Gerald Durrell'],1,1.0
58,What type of tree was Newton supposedly sitting under when he formulated his theory of gravity?,qf_3499,"['apple fruit', 'سێو', 'malus pumila', 'apple trees', '🍏', 'malus domesticus', 'apple blossom', 'apples and teachers', 'dried apple', 'aplle', 'apple', 'malus communis', 'apple tree', 'pyrus malus', 'culture of apple', 'apple popularity', 'apple peel', 'nutritional information about apple', 'apple day', 'appleblossoms', '🍎', 'malus domestica', 'apples', 'apple production', 'appleblossom', 'apple nutritional information', 'green apples', 'green apple', 'apple blossoms']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""supposedly sitting under"" implies a historical legend rather than a verified fact. While the common narrative associates Newton with an apple tree, there is no definitive historical record specifying the exact species or tree. The referent (""the tree"") is tied to a myth, not a concrete historical event, leaving the answer ambiguous without additional context.",['*   Apple tree'],1,1.0
59,Who was the author of 'The Thorne Birds'?,qf_1204,"['colleen mccullough', 'colleen mccullough robinson', 'colleen mccollough']",Undetermined lexicons or references,underspecified,"The request is underspecified because the title ""The Thorne Birds"" is not a recognized or widely known book, leaving the referent ambiguous. Without confirmation of the book's existence or authorship, the question cannot be resolved definitively.",['*   Colleen McCullough'],1,1.0
60,What was the first hospital soap opera on ITV,bt_4197,"['emergency ward ten', 'emergency – ward 10', 'emergency ward 10', 'oxbridge general']",Undetermined perspective or granularity,underspecified,"The request is underspecified because the term “first” can be interpreted from multiple perspectives, such as the first hospital soap opera in the history of ITV or the first hospital soap opera in a specific year. Without specifying the intended perspective, the question remains underspecified.",['*   Emergency - Ward 10'],1,1.0
61,What physics term refers to the largely prohibited selling method by which customers are said to have agreed to buy something unless they refuse unsolicited goods or services?,bb_9098,"['principle of inertia', 'galileo principle', 'inertia of rest', 'inertias', 'history of law of inertia', 'galileo s principle', 'types of inertia', 'inertia', 'principle of inertia physics']",Undetermined lexicons or references,underspecified,"The request is underspecified because the described scenario (unsolicited goods/services and coerced agreement) is not a recognized physics concept. The question conflates marketing/sales practices with physics terminology, which lacks a direct or standard term in physics to describe this phenomenon. The referent is misaligned with the field of physics, making the question underspecified.",['*   Inertia'],1,1.0
62,A Paris grocer was jailed for two years in 1978 stabbing wife what?,qf_2971,['wedge of hard cheese'],Missing necessary components,underspecified,"The request is underspecified because the phrase “what?” is a placeholder for an omitted question, making the referent unclear. The sentence structure is incomplete, and the missing component is the specific question that the phrase “what?” is meant to answer. Without this, the question is underspecified.",['*   knife'],0,0.0
63,"Who's missing: George Costanza, Elaine Bennes, Cosmo Kramer",qg_2596,"['jerome seinfeld', 'jerome 22jerry 22 seinfeld', 'jerry seinfield', 'jerry sienfeld', 'jerry seinfeld']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “Who's missing” is ambiguous without context. It could refer to a specific episode, joke, or scenario from *Seinfeld* where these characters are absent, but the question lacks the necessary contextual anchor to determine the intended reference. Additionally, the names provided (George Costanza, Elaine Benes, Cosmo Kramer) are all characters from *Seinfeld*, but the question does not clarify which one is missing or the specific scenario.",['*   Jerry Seinfeld'],1,1.0
64,What is the subject of the Surgeon's Photograph of 1934,bt_1378,"['lnpib', 'nessie dragon', 'loch ness monster', 'loch ness investigation bureau', 'loch ness leviathan', 'surgeon s photo', 'lochness monster', 'loche ness monster', 'nessie', 'nessology', 'nessy dragon', 'niseag', 'locless monster', 'lockness monster', 'nessy', 'lock ness monster', 'nessiteras rhombopteryx', 'nessie loch ness monster', 'surgeon s photograph', 'monster of loch ness', 'nessiteras', 'operation deepscan', 'lochness monsters', 'nessie name']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “Surgeon's Photograph of 1934” lacks clarity on the specific referent. Without additional context (e.g., the photographer, the surgical procedure, or the historical event), the term is ambiguous and could refer to multiple parallel images or interpretations. The referent is not uniquely identifiable, making the question underspecified.",['*   Loch Ness Monster'],1,1.0
65,Whose 1995 best seller argues that our universe is part of a super universe?,sfq_13219,"['steven hawkins', 'stephen hawking', 'stephan hawking', 'steven hawkings', 'steven hawkin', 'stephen william hawking', 'stephen hawkings', 'stephen hawkins', 'steven hawking', 'stephen w hawking', 'top down cosmology', 'isobel hawking', 's w hawking', 'steven w hawking', 'stephen hawking space', 'steve hawking', 'hawking stephen', 'frank hawking', 'stephen hawkin', 'hawking stephen william', 'steveen hawking']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “1995 best seller” can refer to multiple parallel works depending on the specific field (e.g., science fiction, nonfiction) and the criteria for ""best seller"" (e.g., sales, critical acclaim). Additionally, the argument about a ""super universe"" is a specific theoretical claim that may be associated with multiple books, but without clarifying the exact work or its context, the referent remains ambiguous.",['*   Michio Kaku'],0,0.0
66,What was the name of the ferry in the Zeebrugge disaster of 1987,bt_315,"['herald of free enterprise', 'flushing range', 'zeebrugge ferry disaster', 'imo 7820485', 'ms herald of free enterprise', 'm s herald of free enterprise', 'zeebrugge disaster']",Undetermined lexicons or references,underspecified,"The request is underspecified because the Zeebrugge disaster of 1987 is not a historically recognized event. The Zeebrugge incident refers to the 1919 naval battle, not 1987. Without clarifying the correct historical event or date, the referent remains ambiguous and the question is based on incorrect premises.",['*   Herald of Free Enterprise'],1,1.0
67,'Cape Cod Salad' is an exotic summer dish centred,odql_686,['lobster'],Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “entred” is incomplete and lacks a clear referent, making it impossible to determine the exact focus of the dish. Additionally, the phrase “exotic summer dish” is vague and could refer to multiple interpretations, leaving the question underspecified.",['*   Cranberries'],0,0.0
68,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,qz_5898,"['tinna turner', 'tina turner s', 'tina turner', 'tina tuner', 'anna bullock', 'annie mae bullock', 'anna mae bullock']",Undetermined lexicons or references,underspecified,"The request is underspecified because the character ""Aunty Entity"" is not a recognized character in the 1985 film *Mad Max: Beyond Thunderdome*. The term may refer to a character from a different film (e.g., *Mad Max: Fury Road*), but the title provided does not align with the referent. Without clarification on the correct film or character, the question remains ambiguous.",['*   Tina Turner'],1,1.0
69,Which actress played Queen Victoria in the 1970s TV drama Edward the Seventh?,sfq_18522,"['annette crosby', 'annette crosbie']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""Edward the Seventh"" is not a recognized historical or fictional title, and there is no established TV drama from the 1970s that features Queen Victoria as a central character. The referent is unclear, and the question lacks a valid historical or cultural context to determine the intended answer.",['*   Annette Crosbie'],1,1.0
70,What is Bedloes Island in the USA used for?,qw_3129,"['statue of liberty', 'free woman', 'frederick r law', 'freiheitsstatue', 'mother of exiles', 'statue liberty', 'azadliq statue', 'liberty statue', 'staute of liberty', 'liberty enlightening world', 'statue of liberty usa', '🗽', 'liberty statue of', 'fort wood national monument']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Bedloes Island"" could refer to multiple parallel entities, such as the Bedloes Island in the St. Lawrence River (near the Canadian border) or a smaller, less-known island in the USA. Without clarifying the specific location or context, the intended use (e.g., historical significance, recreational use, or natural reserve) remains ambiguous.",['*   Statue of Liberty National Monument\n*   Liberty Island'],0,0.6000000000000001
71,Of which Saxon kingdom was Offa a King?,dpql_1865,"['mercians', 'kingdom of iclingas', 'mercia', 'flag of mercia', 'miercna', 'mierce', 'kingdom of mercia']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Saxon kingdom"" is ambiguous. Offa was a king of the Mercian kingdom, not the Saxon kingdom. The question conflates two distinct historical entities (the Saxons and the Mercians), and the referent ""Saxon kingdom"" is not accurate for Offa. Without clarification on the intended referent (e.g., ""Mercian kingdom""), the question remains underspecified.",['*   Mercia'],1,1.0
72,"""What type of clothing is a """"sou-wester""""?""",qw_3601,"['hatbands', 'puggaree', 'hat', 'hat size', 'hats', '👒', 'hat bands', 'hat band', 'paper hat', 'hatband', 'types of hats', 'titfer', 'sweatband hat', 'brim hat']",Undetermined lexicons or references,underspecified,"The term ""sou-wester"" is not a widely recognized or standard clothing term, and its definition can vary depending on context or regional usage. Without a clear, universally accepted reference, the question remains underspecified due to potential ambiguity in the term's meaning.",['*   A waterproof hat'],0,0.6666666667000001
73,"Apart from London, in which other British city is there a Charing Cross?",sfq_6023,"['glasgow lanarkshire', 'un locode gbglw', 'west end of glasgow', 'glasgow scotland', 'city of glasgow scotland', 'glasgow', 'south side glasgow', 'glasgow united kingdom', 'glasgo', 'glasgow west end', 'glasgow city council area', 'glesca', 'glesga', 'east glasgow', 'glasgae', 'weather in glasgow', 'west end of glasgow glasgow united kingdom', 'glasgow district', 'glasgow uk', 'north glasgow', 'city of glasgow local government district strathclyde region', 'south glasgow', 'cathures', 'glasgow city', 'city of glasgow council area', 'glasweigan', 'glasgow s west end', 'glaswegians', 'west glasgow', 'city of glasgow', 'south east glasgow', 'east end glasgow', 'glaschu', 'glesgae', 'east end of glasgow']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Charing Cross"" is uniquely associated with London, and there are no other British cities with a Charing Cross. The question assumes the existence of an alternative location, which is factually incorrect. While the referent is clear (Charing Cross in London), the question's phrasing implies the possibility of other locations, which does not exist. This creates ambiguity in the context of the query.",['*   Glasgow'],1,1.0
74,On which course were 'The Home of Racing Handicap Stakes' and 'The Rowley Mile Maiden Stakes' run at the end of May?,odql_6831,"['newmarket', 'newmarket disambiguation']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “end of May” is not a precise date, and the referent “The Home of Racing Handicap Stakes” and “The Rowley Mile Maiden Stakes” are not clearly defined or standardized terms. Without additional context or clarification, the question remains underspecified.",['*   Newmarket'],1,1.0
75,"""Who coined the phrase """"the unpleasant and unacceptable face of capitalism""""?""",odql_8694,"['edward heath', 'shadow cabinet of edward heath 1974–1975', 'shadow cabinet of edward heath ii', 'edward r g heath', 'ted heath', 'edward richard george heath', 'sir edward heath']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “the unpleasant and unacceptable face of capitalism” is not a widely recognized or documented phrase with a clear, unambiguous origin. Without specifying the source (e.g., a book, speech, or author), the referent remains ambiguous, and the question lacks the necessary contextual information to identify the exact person who coined it.",['*   Edward Heath'],1,1.0
76,"Are you going to come quietly, or do I have to use earplugs?",qz_5410,"['terence alan patrick seán milligan', 'terence alan patrick seán milligan kbe', 'spike milligan']",Undetermined standard or preference,underspecified,"The request is underspecified because it is a rhetorical question that does not have a factual or logical answer. The question is not asking for a factual or procedural response but rather for a hypothetical or interpretive one, which is not within the scope of the system's capabilities.",['*   I am an AI and do not have a physical presence.'],0,0.0
77,Macbeth belonged to which royal house or dynasty?,qz_2717,"['macmalcolm', 'canmore dynasty', 'canmores', 'dunkeld dynasty', 'house of canmore', 'house of dunkeld']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""belonged to"" can refer to multiple parallel referents: either the fictional character Macbeth from Shakespeare's play or the historical figure Macbeth of Scotland. The answer depends on which context is intended, and the question lacks clarity on this distinction. Additionally, the term ""royal house or dynasty"" could refer to different entities depending on the referent (e.g., the House of Duncan in the play or the House of Macbeth in history).",['*   House of Alpin'],0,0.6666666667000001
78,The books 'The Edge of Reason' and 'Mad About The Boy' are sequels to which novel?,sfq_20142,"['bridget joneses diary', 'bridget jones diary', 'bridget joness diary', 'diary of bridget jones', 'bridget jones s diary']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""sequels to which novel"" assumes the existence of a prior novel, but ""The Edge of Reason"" is the first book in the series, and ""Mad About The Boy"" is its sequel. The question implies a single preceding novel, which is not the case. Without clarification on the intended series or context, the referent remains ambiguous.","[""*   Bridget Jones's Diary""]",1,1.0
79,Motor Racing. Which team has announced that they are to withdraw from Formula One racing at the end of the year?,odql_14010,"['bmw z2', 'bavarian motor works', 'bayerische motoren werke', 'motoren werke ag', 'connecteddrive', 'bmw v series', 'bayrische motoren werke', 'bmw automobile', 'bmw motorcyc le clubs', 'bmw model designations', 'bmw group', 'bmw ag', 'bmw motorcycle clubs', 'bayerische motorenwerke', 'b m w g', 'bmw company', 'bayer motoren werke', 'bayerische motoren werke gmbh', 'b m w', 'bmw korea', 'bayerische motoren werke ag', 'bmw']",Missing necessary components,underspecified,"The request is underspecified because it does not clarify the specific year or timeframe for the ""end of the year,"" leaving the question open to interpretation. Additionally, the referent ""team"" is not explicitly tied to a specific organization, as multiple Formula One teams could potentially announce withdrawals. Without a clear temporal anchor or specific team name, the question lacks necessary components to provide a definitive answer.",['*   Honda'],0,0.0
80,"Which 2009 movie, the directorial debut of Sam Taylor-Wood, tell the story of the adolescence of John Lennon?",sfq_9130,['nowhere boy'],Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""the adolescence of John Lennon"" is historically inaccurate — John Lennon was not a teenager during the time period in question, and no 2009 film directed by Sam Taylor-Wood tells the story of his adolescence. The referent is factually incorrect, and the question contains a misalignment between the movie's subject matter and the requested narrative.",['*   Nowhere Boy'],1,1.0
81,"""What is the name of the short actor who plays the main role in the BBC2 comedy series""""Life's too short""""?""",wh_961,"['warwick ashley davis', 'warwick davies', 'warwick davis']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""short actor"" is ambiguous and does not clearly identify the referent. The phrase could refer to an actor with a short stature, a nickname, or a descriptor unrelated to the actor's name. Additionally, the show ""Life's too short"" is not a widely recognized title, and without clarification on the specific actor or context, the referent remains unclear.",['*   Warwick Davis'],1,1.0
82,Which football manager as the nickname the bald eagle?,sfq_1784,"['jim smith disambiguation', 'jim smith', 'smith jim', 'jim smith basketball']",Undetermined lexicons or references,underspecified,"The request is underspecified because the nickname “the bald eagle” is not a widely recognized or standard term for any known football manager. Without additional context or clarification on which manager or league is being referred to, the referent remains ambiguous and the question cannot be definitively answered.",['*   Gian Piero Gasperini'],0,0.0
83,Who had chart hits which included Annie`s Song and Rocky Mountain High?,qz_5044,"['john deutschendorf', 'henry john deutschendorf', 'henry deutschendorf junior', 'annie denver', 'henry john deutschendorf jr', 'for baby for bobbie', 'henry deutschendorf jr', 'henry john deutschendorf junior', 'john denver', 'henry deutschendorf']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""chart hits"" can refer to multiple parallel contexts (e.g., Billboard charts, other regional charts), and the referent ""Annie's Song"" and ""Rocky Mountain High"" are associated with different artists (The Everly Brothers and The Eagles, respectively). There is no single artist who has both songs as chart hits, and the question lacks clarity on whether it seeks a specific artist or a broader categorization. The ambiguity in referents and the lack of a definitive answer make the question underspecified.",['*   John Denver'],1,1.0
84,In1918 women over what age were given the right to vote?,sfq_19768,"['30', 'thirty']",Missing necessary components,underspecified,"The request is underspecified because the phrase ""In 1918"" is ambiguous in terms of which country or jurisdiction is being referred to. While the UK's Representation of the People Act 1918 granted women over 30 the right to vote, other countries had different age requirements or timelines. Without specifying the location, the referent remains ambiguous, making the question underspecified.",['*   30'],1,1.0
85,What was the name of the ferry in the Zeebrugge disaster of 1987,bt_315,"['herald of free enterprise', 'flushing range', 'zeebrugge ferry disaster', 'imo 7820485', 'ms herald of free enterprise', 'm s herald of free enterprise', 'zeebrugge disaster']",Undetermined lexicons or references,underspecified,"The request is underspecified because the referent ""the Zeebrugge disaster of 1987"" is ambiguous. The Zeebrugge disaster is most famously associated with the 1942 sinking of the French freighter *La Jeune France*, not 1987. Without clarifying the specific event or correcting the year, the referent remains unclear, and the question lacks a definitive historical context.",['*   Herald of Free Enterprise'],1,1.0
86,Horatio was a legendary Roman hero who defended a bridge against which army?,qw_8563,"['etruscan', 'etruscan disambiguation']",Undetermined lexicons or references,underspecified,"The request is underspecified because the referent ""Horatio"" is ambiguous — it could refer to the literary character from *Hamlet* (a fictional figure) or a real historical Roman hero (whose identity is unclear). Additionally, the question lacks clarity on the specific historical or mythological context of the bridge or army being referenced, leaving the referent open to multiple interpretations.",['*   Etruscan army'],0,0.6666666667000001
87,What is the most popular natural attraction in Alaska?,qz_186,"['denali south buttress', 'большая гора', 'mount mckinley south buttress', 'mount mckinley alaska', 'denali', 'mt denali', 'mount mckinely', 'mount mckinley', 'denali north peak', 'highest mountain in north america', 'mount mckinley east buttress', 'mt mckinley denali', 'mount mckinley north peak', 'churchill peaks', 'mount denali', 'mt mckinley', 'denali east buttress']",Undetermined standard or preference,underspecified,"The request is underspecified because the term “most popular” is subjective and depends on criteria such as visitor numbers, tourism statistics, or cultural significance. Additionally, Alaska has multiple natural attractions (e.g., Denali National Park, Glacier Bay, the Arctic Circle), and the answer depends on which metric defines “popularity.” Without clarifying the standard, the question remains open to interpretation.",['*   Denali National Park and Preserve'],0,0.33333333330000003
88,Which 1949 film was set on the Scottish island of Todday?,dpql_1111,"['whiskey galore', 'whisky galore disambiguation', 'whisky galore']",Undetermined lexicons or references,underspecified,"The request is underspecified because the referent ""Todday"" is not a recognized Scottish island, and there is no 1949 film known to be set there. The term ""Todday"" may be a misspelling or a non-existent location, making the question based on an incorrect or ambiguous referent.",['*   Whisky Galore!'],1,1.0
89,If you had two eight enders in one bonspiel what are you playing,bt_2207,"['curling sheet', 'curling rink', 'curling shoes', 'button curling', 'hammer curling', 'curling stone', 'roaring game', 'curling sport', 'curling', 'sweeping sport', 'curling broom', 'chess on ice', 'curling rock', 'history of curling', 'free guard zone']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “you had two eight enders in one bonspiel” is not a standard or recognized expression in the context of curling, and the question lacks clarity on the specific rules or context of the game being played. Without further clarification, the question remains underspecified.",['*   Curling'],1,1.0
90,Prince Calef is the male-lead in which Puccini opera?,sfq_4771,"['turandot', 'turnadot', 'turandot puccini']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Prince Calef"" is not a recognized character in any of Puccini's operas. While ""Calaf"" is a well-known male lead in *Turandot*, the name ""Calef"" does not correspond to any established character in Puccini's works. This ambiguity in the referent makes the question underspecified.",['*   Turandot'],1,1.0
91,"Which mammal has species called 'leopard', 'Grey' and 'Baikal'?",odql_6609,"['american navy sea air and land teams', 'us navy seal s', 'united states navy sea air and land forces', 'seal team three', 'task force blue', 'usns task force', 'greenfaces', 'armed forces navy seals', 'delta seals', 'u s navy seals', 'armed forces seal', 'american navy seals', 'sealt', 'united states navy seal s', 'seal team four', 'basic underwater demolition seal training', 'navy seal s', 'us navy seal', 'seal us navy', 'navy seal', 'armed forces navy seal', 'seals', 'navy seals', 'seal team 1', 'seal team 3', 'seal team 7', 'seal team 5', 'sea air and land teams', 'navvy seal', 'seal team eight', 'usnss', 'osama bin laden killers', 'seal team 2', 'seal', 'u s navy seal', 'seal teams', 'basic underwater demolition', 'seal team 9', 'seal team nine', 'seal team seven', 'united states navy sea air and land', 'naval commandos united states', 'seal team 8', 'usn seals', 'u s seals', 'seal team ten', 'seal team 10', 'american navy seal', 'seals us navy', 'usn principal special operations', 'seals u s navy', 'united states navy seals', 'seal team 4', 'us navy seals', 'seal team one', 'seal delivery vehicle teams', 'seal u s navy', 'united states navy seal', 'seal team two', 'seal team five']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Baikal"" refers to the Baikal seal (a type of seal), not a leopard subspecies. The question conflates different mammal species (leopard, grey seal, and Baikal seal), which are not part of the same taxonomic group. Without clarifying the intended referent or resolving the ambiguity between these species, the question remains underspecified.",['*   Seal'],1,1.0
92,"Which rust free cars were built in Dunmurry, Northern Ireland in the late 1970s?",sfq_8251,"['de lorean', 'delorean', 'deloreans', 'de loreans', 'delorian', 'delorean disambiguation']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term “rust free cars” is not a standard or recognized term in automotive manufacturing, and the referent “dunmurry, Northern Ireland” is a specific location, but the question lacks clarity on what is meant by “rust free”. Additionally, the time frame “late 1970s” is vague without a specific year range, making the question underspecified.",['*   DeLorean DMC-12'],0,0.6666666667000001
93,In which US city did the 2004 remake of the film Alfie take place?,odql_2412,"['us ny', 'n y', 'neo york', '11th state', 'new york state s', 'nýja jórvík', 'new yourk', 'new york us', 'new york', 'estado nueva york', 'nova york', 'ny state', 'state new york', 'new yourk state', 'u s state of new york', 'eleventh state', 'state of n y', 'new york u s', 'new york s', 'n y u s state', 'newyork', 'new york usa state', 'new yrok', 'state of new yourk', 'state of new york', 'nyja jorvik', 'ny', 'estado de nueva york', 'religion in new york', 'nueva york estado', 'new york u s state', 'new york state', 'state of ny', 'n y state', 'us state of new york', 'nys', 'new york population', 'ny u s state']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase ""2004 remake of the film Alfie"" refers to a film that does not exist. The 1994 version of *Alfie* was set in New York City, but there is no 2004 remake of the film. Without clarification on the correct film or its setting, the question lacks a clear referent and is therefore underspecified.",['*   New York City'],0,0.8
94,Highclere Castle in Hampshire is the filming location for which current ITV1 series?,sfq_12368,"['downtown abbey', 'donton abbey', 'downton abbey', 'lavinia swire']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “current ITV1 series” requires specifying the exact title or context of the show, which is not provided. Additionally, while Highclere Castle is a well-known filming location for historical dramas like *Downton Abbey* (BBC), it is not definitively linked to any current ITV1 series. Without further clarification on the specific show or its connection to Highclere Castle, the question remains underspecified.",['*   Downton Abbey'],1,1.0
