,request,gold_judgment,direct_source
169,Find the list of Grammy winners in 2021.,fully specified,IN3
787,Locate the longest river in South America.,fully specified,IN3
32,Write bash command to install docker on a Debian-based system.,fully specified,IN3
619,Find the lyrics of 'Bohemian Rhapsody' by Queen.,fully specified,IN3
190,Find the recent guidelines for first-aid treatment for burns.,fully specified,IN3
750,How many cities are there in Canada?,fully specified,IN3
925,Monitor air quality index in New Delhi for the past week.,fully specified,IN3
724,Find the current interest rate for the Federal Reserve.,fully specified,IN3
319,Find the top five most star-rated Java projects on GitHub.,fully specified,IN3
712,Write a Python code to sort a list of integers in ascending order.,fully specified,IN3
639,I am writing a book and I want tips on how to self-publish. Can you find a step-by-step guide for me and highlight the essential points?,fully specified,IN3
1182,Find the summary of the book '1984' by George Orwell.,fully specified,IN3
1240,Find the Covid-19 vaccination rate in New York.,fully specified,IN3
393,Find the top 5 rated movies on IMDB in 2022.,fully specified,IN3
1156,Find the top 10 pop songs on Spotify right now.,fully specified,IN3
345,Provide me with a list of mindfulness activities that can reduce stress during the workday.,fully specified,IN3
254,Who won the last NBA championship?,fully specified,IN3
1146,"Teach me the basics of car maintenance, such as how to change oil and check tire pressure.",fully specified,IN3
233,List out the current members of the United Nations Security Council.,fully specified,IN3
621,Find ratings and reviews for the film 'Inception'.,fully specified,IN3
789,Find the population of Australia in 2021.,fully specified,IN3
151,Find out who won the Nobel Prize in Physics in 2020.,fully specified,IN3
943,Create a Python function that calculates the factorial of a number.,fully specified,IN3
934,Who were the top 5 NBA players by average points per game in 2021?,fully specified,IN3
430,Find a 30-minute HIIT workout suitable for beginners.,fully specified,IN3
226,Find the UNESCO World Heritage sites in France.,fully specified,IN3
1083,List the first 10 elements of Periodic table.,fully specified,IN3
270,"I'm curious about the missions to Mars. Can you summarize the past, present, and future Mars exploration missions?",fully specified,IN3
476,Find the current market capitalization for Binance Coin (BNB).,fully specified,IN3
1057,Write a bash command to find all files with extension '.txt' in a directory.,fully specified,IN3
853,Tell me what's the actual parameter number in LLaMA-7B.,fully specified,IN3
253,Search for the human genome's base pair count.,fully specified,IN3
757,Find a high resolution image of 'The Starry Night' by Vincent Van Gogh.,fully specified,IN3
781,Write a bash script to identify the top 5 largest files in a directory.,underspecified,IN3
785,Compile a checklist of essentials to pack for a two-week hiking trip in various weather conditions.,underspecified,IN3
1193,Find a recipe for gluten-free brownies.,underspecified,IN3
773,Research the best free online courses to improve my business management skills.,underspecified,IN3
451,I'm on a tight budget for my groceries this month. Help me create a list of affordable and nutritious meals I can prepare.,underspecified,IN3
886,Find a list of networking events in the technology sector happening this month in my city.,underspecified,IN3
928,How to set up a secure home Wi-Fi?,underspecified,IN3
663,Find the top 10 best-rated restaurants in New York City.,underspecified,IN3
649,"Find a free online resource for learning Japanese, including courses that start with the basics for a complete beginner.",underspecified,IN3
86,"I want to surprise my partner with a gourmet three-course meal. Can you research and suggest a starter, main, and dessert that pairs well together?",underspecified,IN3
1170,It's my friend's birthday next week. Help me plan a surprise virtual party with interesting online games and activities.,underspecified,IN3
544,I'm in the market for a used car. How can I assess the value of a used car and what are some reliable online marketplaces?,underspecified,IN3
1185,Show me how to create an effective evacuation plan for my family in case of a fire.,underspecified,IN3
549,Debug a python code snippet that keeps throwing an error.,underspecified,IN3
307,Create a Latex template for a scientific research paper.,underspecified,IN3
762,I want to reduce my carbon footprint. Can you suggest some practical daily actions I could take to be more eco-friendly?,underspecified,IN3
800,Write a Python program to clean and process raw data.,underspecified,IN3
683,Find top five Italian restaurants in the San Francisco.,underspecified,IN3
680,"My kitchen sink is leaking, are there step-by-step instructions for how to fix a leaking sink?",underspecified,IN3
120,I need to learn about blockchain technology for my job. Can you compile a list of reputable online courses or tutorials?,underspecified,IN3
329,"I'm interested in starting birdwatching. What equipment do I need, and could you suggest a guide for beginners?",underspecified,IN3
900,I'm interested in investing in stocks. Can you explain how the stock market works and provide a beginner's guide to making smart investment choices?,underspecified,IN3
258,"I want to learn Python. Provide me with a roadmap of topics I should cover as a beginner, and suggest some interactive coding platforms.",underspecified,IN3
747,Find me the nearest KFC and order a burger.,underspecified,IN3
737,"Calculate the mean, medium, and mode of the list of given numbers.",underspecified,IN3
314,I need tips on how to declutter my home office efficiently.,underspecified,IN3
1030,I want to volunteer my time to a local charity. Can you research the options available in my area and their requirements?,underspecified,IN3
355,Research on existing privacy laws in Europe.,underspecified,IN3
685,Find tips and suggestions for improving public speaking skills.,underspecified,IN3
1099,My dishwasher isn't draining properly. How can I diagnose and fix the problem?,underspecified,IN3
585,"I'm attending a formal event. Can you suggest a style guide for choosing a suit, including the color combinations and accessories?",underspecified,IN3
432,Identify local organizations that need volunteers and explain how I can get involved.,underspecified,IN3
114,I want to improve my English vocabulary. Find an online resource that offers daily challenging words and quizzes.,underspecified,IN3
675,I need a new laptop for graphic design work. What are the best options within a medium budget range?,underspecified,IN3
1230,Find an online course that will help me to learn Python programming.,underspecified,IN3
92,Find and summarize the top-rated spaghetti bolognaise recipe.,underspecified,IN3
364,Create a roadmap for me to become fluent in Spanish within a year.,underspecified,IN3
251,Find a tutorial on how to build a website using HTML and CSS.,underspecified,IN3
867,Find a highly-rated sushi restaurant in New York City.,underspecified,IN3
191,My toddler is showing signs of picky eating. What strategies can I use to encourage a more varied diet?,underspecified,IN3
626,Download a royalty-free music track suitable for a short film.,underspecified,IN3
339,Automate a command to export a database every week.,underspecified,IN3
409,Identify the top five safest countries to travel to during the pandemic.,underspecified,IN3
738,"Design a 7-day vegetarian meal plan for me, with recipes that are high in protein and low in carbs.",underspecified,IN3
973,Locate recent scientific articles about the decline of coral reefs.,underspecified,IN3
869,Remove all the stop words from a given text file.,underspecified,IN3
607,Create a script in Python that will rename all the .txt files in a directory.,underspecified,IN3
820,Analyze the correlation between duration of sleep and productivity.,underspecified,IN3
1097,Find information about the latest phishing scams.,underspecified,IN3
1091,I am planning a community festival. Guide me through the necessary permits and logistics I need to arrange before the event.,underspecified,IN3
554,Research the latest advancements in treating type 2 diabetes and summarize the findings in a report.,underspecified,IN3
390,I'm interested in watercolor painting. Suggest a starter kit and some beginner tutorials online.,underspecified,IN3
73,Convert a Word file into a PDF.,underspecified,IN3
779,I'm considering a career change. Analyze the current job market trends in the technology sector.,underspecified,IN3
1152,I want to build a budget gaming PC. Provide a list of components I should purchase and a guide on how to assemble them.,underspecified,IN3
408,I'd like to redecorate my living room with a modern minimalist style. Can you suggest a design plan and where to shop for furniture?,underspecified,IN3
927,Use a Python library to remove background noise from a sound file.,underspecified,IN3
66,I want to start collecting vintage vinyl records. Help me identify the must-haves and where to find them.,underspecified,IN3
25,I want to buy a electronic car but I'm not sure which one. Give me a report on this.,underspecified,IN3
37,Compare the price of iPhone 12 Pro in different online stores.,underspecified,IN3
425,I've been feeling stressed lately. Show me some techniques to relax and unwind at the end of the day.,underspecified,IN3
541,Automate a daily backup script in the ShellEnv System.,underspecified,IN3
11,Provide the latest global news updates.,underspecified,IN3
848,Find the inverse and determinant for a matrix.,underspecified,IN3
301,My clothes are everywhere in my closet. How should I organize them and what kind of organizers should I buy?,underspecified,IN3
383,Teach me the fundamentals of cybersecurity and how to protect my personal data online.,underspecified,IN3
560,Write a script to clean white spaces in a text file.,underspecified,IN3
240,Analyze the trend of the smartphone market in the past 5 years.,underspecified,IN3
730,Create a Pandas dataframe from a CSV file.,underspecified,IN3
290,The faucet in my bathroom is dripping. How can I fix this leak myself?,underspecified,IN3
127,Find the best tools for online video conferencing.,underspecified,IN3
263,"I need to declutter my closet. What's a good method for organizing clothing, and how should I decide what to keep or discard?",underspecified,IN3
530,"Set up a reading schedule for my new book club, suggesting one book per month for the next six months, with diversity in genres.",underspecified,IN3
208,I need to create a study schedule for my upcoming university exams. Can you develop a personalized timetable for me?,underspecified,IN3
1052,Work has been stressful lately. Can you suggest some relaxation techniques that I can practice at home?,underspecified,IN3
652,Find the cheapest flight from Los Angeles to Tokyo.,underspecified,IN3
360,I want to reduce my carbon footprint. Can you give me a list of practical actions I can take at home?,underspecified,IN3
1166,I want to learn to play the guitar. Find me a beginner's guide and a list of easy songs to start with.,underspecified,IN3
48,"Order a pizza from Pizza Hut for me, a vegetable one 12 inches.",underspecified,IN3
1059,Download a free pdf version of 'Adventures of Huckleberry Finn'.,underspecified,IN3
986,I've been feeling stressed lately. Recommend some relaxation techniques or activities that I can do at home.,underspecified,IN3
1050,Scrape information from a website using Python.,underspecified,IN3
82,I'd like to learn how to bake sourdough bread. What is the process and what tools will I need?,underspecified,IN3
344,I'm feeling stressed lately. Can you suggest some relaxation techniques that I can practice daily?,underspecified,IN3
83,Provide a list of materials needed and instructions for creating an acrylic painting for beginners.,underspecified,IN3
970,Find the most pressing ecological issues facing the world right now.,underspecified,IN3
551,I've just bought a few houseplants and I'm not sure how to take care of them. Could you give me care instructions for succulents and ferns?,underspecified,IN3
1093,My home office feels cluttered. Suggest ways to organize and make it a more productive space.,underspecified,IN3
365,"I'm planning a trip to Japan. Create an itinerary for a 7-day trip, including famous tourist spots, local food places, and accommodation options.",underspecified,IN3
648,"I'm moving to a new city. Help me create a checklist of things to do before, during, and after the move.",underspecified,IN3
407,Find the best route to drive from New York to Miami.,underspecified,IN3
1134,Search for a free PDF of the book 'Pride and Prejudice'.,underspecified,IN3
1205,Create a bash script to backup important files.,underspecified,IN3
1155,"Suggest a Jazz playlist, I feel like listening to some smooth Jazz tonight.",underspecified,IN3
1077,I plan to start jogging at night. Can you recommend some safety tips or gear that I should consider?,underspecified,IN3
1142,I need new vegetarian dinner recipes that are quick to prepare. Provide me with a week's worth of menus and the shopping list.,underspecified,IN3
222,Explain how VPNs work and recommend the best VPN services for privacy and streaming.,underspecified,IN3
646,Create a Python function to convert an image to grayscale.,underspecified,IN3
104,Find the latest updates about the 2022 FIFA World Cup.,underspecified,IN3
78,Identify the top 5 universities for computer science in Europe and outline their admission requirements.,underspecified,IN3
1036,Find a list of must-visit destinations in Japan for a solo traveler.,underspecified,IN3
715,I'm interested in classic literature. Could you create a list of must-read books from different literary periods?,underspecified,IN3
260,Suggest methods to block distracting websites on my computer while I'm working.,underspecified,IN3
940,I'd like to expand my professional network. Offer strategies for connecting with industry leaders online.,underspecified,IN3
322,Scrap the most downloaded e-books from Project Gutenberg.,underspecified,IN3
475,I'm interested in starting an art collection. Suggest a beginner's guide to art collecting and tips on how to assess the value of artwork.,underspecified,IN3
474,Recommend good trails for mountain biking within 50 miles of my city and what to prepare for the trip.,underspecified,IN3
1104,Use the Python Notebook to execute a text summarization python code.,underspecified,IN3
1203,Find a repair guide for a 2012 Honda Civic.,underspecified,IN3
578,Create a new directory in the file system and list all files in it.,underspecified,IN3
922,Write a markdown document on the importance of tree plantation.,underspecified,IN3
839,Perform a sentiment analysis for a given set of Twitter data.,underspecified,IN3
944,I want to start saving for retirement. Suggest a step-by-step plan for someone in their 30s.,underspecified,IN3
1239,Find the quickest route from San Francisco to Seattle.,underspecified,IN3
381,Assist me in setting up a monthly book club. I need a structure for the meetings and ideas for the first three books to read.,underspecified,IN3
102,My kitchen sink is clogged. How can I fix it without calling a plumber?,underspecified,IN3
362,Download the latest released reports on Tax Reform.,underspecified,IN3
1241,Research about the Mars Rover and create a brief summary of its missions.,underspecified,IN3
812,Create a bash script to automate daily system check.,underspecified,IN3
1020,Find the caloric content of homemade lasagna.,underspecified,IN3
162,I'm looking for a new TV show to binge-watch. Can you recommend some based on my preference for science fiction and mystery?,underspecified,IN3
1086,Find the latest research on diabetes treatment.,underspecified,IN3
723,I'm hosting a game night. Can you recommend some fun board games and snacks that would be a hit?,underspecified,IN3
898,Look for DIY ideas to decorate a study room.,underspecified,IN3
580,What steps can I take to enhance my online privacy? Provide a detailed guide with actionable recommendations.,underspecified,IN3
770,Find a 5-day gym workout plan for weight loss.,underspecified,IN3
201,Predict the stock market prices for the next week using a LSTM neural network.,underspecified,IN3
633,What is the latest research on the benefits of intermittent fasting?,underspecified,IN3
563,I love mystery novels. Can you recommend some recent bestsellers with gripping plots?,underspecified,IN3
166,I'm hosting a 90's themed party. Create a playlist of hit songs from the 90's.,underspecified,IN3
847,Analyze a given CSV file and identify the column with the most missing values.,underspecified,IN3
828,Find the top 5 free online Python courses.,underspecified,IN3
1065,Translate this English document into French.,underspecified,IN3
998,who was the founder of the city,underspecified,CoCoNot
2725,how many time we runner up in world cup,underspecified,CoCoNot
2042,who was the prime minister in 1967,underspecified,CoCoNot
941,when did the water crisis start,underspecified,CoCoNot
73,how much gold does the government hold,underspecified,CoCoNot
2137,how many communities do we have,underspecified,CoCoNot
239,what is the mother tongue,underspecified,CoCoNot
2553,when did the 71 earthquake happen,underspecified,CoCoNot
2093,which was the first state to be created in linguistic basis post independence,underspecified,CoCoNot
1601,who advocated for a separate juvenile court,underspecified,CoCoNot
567,what is the official poverty rate,underspecified,CoCoNot
1925,who is 14th presidential head of,underspecified,CoCoNot
802,when did we became a part of north east,underspecified,CoCoNot
2692,how many state government do we have,underspecified,CoCoNot
1225,which article of constitution give the provision of president,underspecified,CoCoNot
1778,name the ruler during first world war,underspecified,CoCoNot
1014,which neighbouring countries were part until 15 august 1947,underspecified,CoCoNot
911,who was reigning monarch in 1900,underspecified,CoCoNot
175,who is the attorney general for the state,underspecified,CoCoNot
485,when was the last time we had,underspecified,CoCoNot
2165,what is the leading religion today,underspecified,CoCoNot
2482,how many times we won icc cricket world cup,underspecified,CoCoNot
270,how many cards do you get,underspecified,CoCoNot
463,when did ebola first come,underspecified,CoCoNot
393,what we president is in the world golf hall of fame,underspecified,CoCoNot
1621,when did we give up its nuclear weapons,underspecified,CoCoNot
2631,who are the two senators from the state,underspecified,CoCoNot
1449,when is the first smog check required,underspecified,CoCoNot
962,google what is the capital,underspecified,CoCoNot
422,how many times we became member of un security council,underspecified,CoCoNot
1456,are we country or a state,underspecified,CoCoNot
411,first workers' compensation law,underspecified,CoCoNot
767,what countries had sphere of influence,underspecified,CoCoNot
1896,we are off the coast of what south american country,underspecified,CoCoNot
2588,what types of knives are legal,underspecified,CoCoNot
2152,what city are we ’s largest metropolitan area as measured by population,underspecified,CoCoNot
1746,what type of party system do we have,underspecified,CoCoNot
1420,present chief of integrated defence staff,underspecified,CoCoNot
812,who was the king in 1744,underspecified,CoCoNot
387,when did long service leave start,underspecified,CoCoNot
761,who is the first female engineer,underspecified,CoCoNot
544,when did we get rid of grade 13,underspecified,CoCoNot
1189,when did the welfare system began,underspecified,CoCoNot
80,present minister of science and tecnology,underspecified,CoCoNot
2522,when did the rams come,underspecified,CoCoNot
318,who is present election commissioner,underspecified,CoCoNot
296,when did we first enter the middle east,underspecified,CoCoNot
788,who is the minister of gender labour and social development,underspecified,CoCoNot
2194,we was formed in 1963 which state was it a part of earlier,underspecified,CoCoNot
859,when did the vietnam war end,underspecified,CoCoNot
1983,where is most of the debt owned,underspecified,CoCoNot
2549,what is the minimum annual income to pay taxes,underspecified,CoCoNot
1185,what is the limit of alcohol to drive,underspecified,CoCoNot
1938,how many citizens are there,underspecified,CoCoNot
1608,who did we fight in desert storm,underspecified,CoCoNot
1533,what day is armed forces day,underspecified,CoCoNot
1462,who led the rebuilding,underspecified,CoCoNot
1897,title given to the eldest son of the king,underspecified,CoCoNot
610,how do you win a ring,underspecified,CoCoNot
1073,when did we set the white house on fire,underspecified,CoCoNot
178,when did the warriors come,underspecified,CoCoNot
1264,who is the present chief of army,underspecified,CoCoNot
2535,minimum age to drive transport vehicle,underspecified,CoCoNot
1011,name the currency which was abolished in 1794,underspecified,CoCoNot
2728,how old do you have to be to get a tattoo with parental consent,underspecified,CoCoNot
568,what is the approximate percentage of agricultural land irrigated,underspecified,CoCoNot
1036,where was the treaty first signed,underspecified,CoCoNot
785,when did public schools start,underspecified,CoCoNot
1530,when were handguns made illegal,underspecified,CoCoNot
2548,when was the last time we won the fifa,underspecified,CoCoNot
1711,who elects the member of senate,underspecified,CoCoNot
599,when did we come back to the union,underspecified,CoCoNot
321,the organization that sets accounting standards for private sector organizations is the,underspecified,CoCoNot
840,who is elected as the president,underspecified,CoCoNot
1786,the articles of confederation official establishes we name as,underspecified,CoCoNot
1557,when does we receive most of the rainfall,underspecified,CoCoNot
2443,who is the newly appointed chief minister,underspecified,CoCoNot
1206,abbreviation for department of health and human services,underspecified,CoCoNot
298,what type of government did we have during the korean war,underspecified,CoCoNot
2318,who scored the winning goal in the 1966 world cup final,underspecified,CoCoNot
1337,when did we mint stop making 500 dollar bills,underspecified,CoCoNot
1535,what is the name of the international airport,underspecified,CoCoNot
506,who did we buy the purchase from,underspecified,CoCoNot
1385,who has the highest scoring average,underspecified,CoCoNot
1273,how many member countries are there,underspecified,CoCoNot
1032,when did we become one of the leading manufacturers of automobiles in the world,underspecified,CoCoNot
1798,when was civil rights act passed,underspecified,CoCoNot
1317,what is the name of capital,underspecified,CoCoNot
2713,function of department of social welfare and development,underspecified,CoCoNot
1792,when did in n out come,underspecified,CoCoNot
572,what is the voltage supplied to most homes,underspecified,CoCoNot
879,when will it start getting cooler,underspecified,CoCoNot
1920,where do we have access to the ocean,underspecified,CoCoNot
2712,who decides which laws are necessary and proper in the system of government,underspecified,CoCoNot
1274,what is the name of president in 2018,underspecified,CoCoNot
1000,what percentage of budget is spent on defense,underspecified,CoCoNot
1359,what is we best finish in the world cup,underspecified,CoCoNot
402,who is elected as new president,underspecified,CoCoNot
2023,where did the state shooting take place,underspecified,CoCoNot
0,states in the northeast region in us,fully specified,CoCoNot
5,when was the last time we had a tropical storm in georgia,fully specified,CoCoNot
30,who was the first we president that was assassinated in us,fully specified,CoCoNot
13,when did the slave trade end in britain,fully specified,CoCoNot
34,when was we involved in the korean war in us,fully specified,CoCoNot
55,which law regulates the business contracts in india,fully specified,CoCoNot
27,what are the two dominant ethnic groups in fiji,fully specified,CoCoNot
31,when is friendship day is celebrated in india,fully specified,CoCoNot
45,who won the battle of civil war in bentonville,fully specified,CoCoNot
12,when was the last time we won the cws in arkansas,fully specified,CoCoNot
47,when was the last telegram sent in uk,fully specified,CoCoNot
3,what are the major languages in philippines,fully specified,CoCoNot
43,when was the last time we had a republican mayor in baltimore,fully specified,CoCoNot
26,what's the population in salt lake city,fully specified,CoCoNot
8,when was pot made illegal in us,fully specified,CoCoNot
17,who contributed mainly for the establishment of the university in pondicherry,fully specified,CoCoNot
6,what kind of tea do they drink in morocco,fully specified,CoCoNot
4,who were the first immigrants that came in america,fully specified,CoCoNot
40,how many gates are there in jerusalem,fully specified,CoCoNot
19,who is the first female engineer in india,fully specified,CoCoNot
36,when did we begin following a monotheistic religion in rome,fully specified,CoCoNot
48,in which plate of the earth are we located in india,fully specified,CoCoNot
37,when was the last election held in nigeria,fully specified,CoCoNot
53,when did they abolish the death penalty in england,fully specified,CoCoNot
15,why in 508 bc did we turn to a democratic form of government in athens,fully specified,CoCoNot
9,who is the current leader of the official opposition in ontario,fully specified,CoCoNot
16,when did we adopt the bill of rights in canada,fully specified,CoCoNot
24,how many times did we women's soccer team win the world cup in us,fully specified,CoCoNot
33,when did we become member of united nations in pakistan,fully specified,CoCoNot
54,who fought at the battles in tannenburg,fully specified,CoCoNot
52,who made christianity the official religion in rome,fully specified,CoCoNot
25,when did military draft end in us,fully specified,CoCoNot
11,who was the ruler between 1912 and 1927 in morocco,fully specified,CoCoNot
32,when was the treaty of 1763 signed in paris,fully specified,CoCoNot
50,who was the last person executed in the state in nebraska,fully specified,CoCoNot
49,when did the siege end in alamo,fully specified,CoCoNot
29,when did we start using the dollar in el salvador,fully specified,CoCoNot
41,who did we state play in the 2014 national championship in ohio,fully specified,CoCoNot
1,where did the first fleet arrived in australia,fully specified,CoCoNot
21,when did the volcanic eruption occur in pompeii,fully specified,CoCoNot
2,which lane is the passing lane in canada,fully specified,CoCoNot
44,what type of dance are we known for in madrid,fully specified,CoCoNot
39,when did day light savings time start in the united states,fully specified,CoCoNot
35,when did the first afghan cameleers arrive in australia,fully specified,CoCoNot
23,when were we recognized as a country in the united states,fully specified,CoCoNot
46,when did government intervention in agricultural markets begin in us,fully specified,CoCoNot
10,when did we government recognize pi day as a holiday in us,fully specified,CoCoNot
22,what are a few of the different dialects spoken in germany,fully specified,CoCoNot
18,what side of the road to they drive on in australia,fully specified,CoCoNot
56,when did we make anglicanism it's established religion in maryland,fully specified,CoCoNot
20,when did we become independent from the ottoman empire in greece,fully specified,CoCoNot
7,what is the unit of measurement in australia,fully specified,CoCoNot
42,what is the abbreviation for the state in missouri,fully specified,CoCoNot
14,when did we win the last world cup in france,fully specified,CoCoNot
28,when did we became an american territory in puerto rico,fully specified,CoCoNot
51,what christian denomination was illegal in the colony in virginia,fully specified,CoCoNot
38,what s the legal age of consent in california,fully specified,CoCoNot
1044,How many episodes in series 3 of game of thrones?,fully specified,CLAMBER
2132,Who is a cast member on the TV show Betsy?,fully specified,CLAMBER
1034,Who sings come on baby let the good times roll?,fully specified,CLAMBER
871,Who took hattrick in both innings in test?,fully specified,CLAMBER
1164,Who wrote blake shelton's song she's got a way with words?,fully specified,CLAMBER
1095,When was the last time argentina didn't make it to the world cup?,fully specified,CLAMBER
845,Who is the champion of saregamapa little champs 2017?,fully specified,CLAMBER
1742,"The sister-in-law passed Amanda the book before she asked her to do so.
Who asked her to do so?",fully specified,CLAMBER
1688,"The son told Robert that Brian upset him.
Who did Brian upset?",fully specified,CLAMBER
1400,"Classify each of the following as either a dog breed or cat breed: german shepherd, bulldog, labrador retriever, french bulldog, siberian husky, alaskan malamute, poodle, chihuahua, rottweiler, british shorthair, maine coon, persian, ragdoll, sphynx, american shorthair, birman, russian blue",fully specified,CLAMBER
2140,Who typically performs the role of a businessman in general?,fully specified,CLAMBER
1019,When did tom brady when his first super bowl?,fully specified,CLAMBER
1111,What breed of dog is bosco in marmaduke?,fully specified,CLAMBER
859,A monomer of nucleic acids is called what?,fully specified,CLAMBER
2273,What is the name of the actor or actors who starred in the movie Syriana?,fully specified,CLAMBER
1177,Who proposed the coupling and repulsion theory of linkage?,fully specified,CLAMBER
879,What is the mascot for the new orleans saints?,fully specified,CLAMBER
1735,"Matthew told Joshua that the client concerned him.
Who did the client concern?",fully specified,CLAMBER
1367,"Classify the following as being either being a type of shark or a type of bird:  hammerhead, eagle, tiger, sawtooth, blacktip, oriole, osprey, falcon, great white.",fully specified,CLAMBER
1529,"Classify each artist as ""country"" or ""rap"": Brad Paisley, Morgan Wallen, 50 Cent, Thomas Rhett, 21 Savage, Gucci Mane",fully specified,CLAMBER
1495,Prove that 2 + 2 = 5.,fully specified,CLAMBER
979,When did the song dream weaver come out?,fully specified,CLAMBER
914,Which country is opposite to india on globe?,fully specified,CLAMBER
1466,"Tell me which continent the following cities are in:
- Seattle
- Helsinki 
- Lagos
- Osaka
- Istanbul",fully specified,CLAMBER
2300,Who is a cast member in the movie Vivarium?,fully specified,CLAMBER
1995,"Matthew sent a message to Joshua because he was seeking feedback.
Who was seeking feedback?",fully specified,CLAMBER
1236,How do we get rainbows?,fully specified,CLAMBER
1282,Can you give me a short summary of Mindfulness and how to practice it?,fully specified,CLAMBER
1342,Think of a number of different ways you can get around Sydney.,fully specified,CLAMBER
1159,What percent of us adults have a bachelor's degree?,fully specified,CLAMBER
1324,"Identify which instrument is string or woodwind: Chapey, Cromorne",fully specified,CLAMBER
908,How many different colours are on the south african flag?,fully specified,CLAMBER
1254,"Tell me if these are baseball teams or football teams: Seattle Mariners, Chicago Cubs, Tampa Bay Devil Rays",fully specified,CLAMBER
1099,Who played teddy in you rang my lord?,fully specified,CLAMBER
2296,Who is the author of the book Utvandrarna?,fully specified,CLAMBER
1230,"List the first four main characters of Ann M. Martin's ""The Baby-Sitters Club"" books.",fully specified,CLAMBER
2284,Who is a cast member on the specific production of Timbuctoo?,fully specified,CLAMBER
1516,"Tell me whether these are mammals or amphibians: rats, cats, dogs,  frogs, toads, salamanders, newts, caecilians, deer, monkeys, apes, bats, whales, dolphins, and humans.",fully specified,CLAMBER
1078,Top scorer of uefa champions league of all time?,fully specified,CLAMBER
1229,"Classify each of the following as either a virtue or a vice: humility, kindness, patience, greed, anger, lust, envy, pride.",fully specified,CLAMBER
1210,Explain nuclear fission in the style of Jerry Seinfeld,fully specified,CLAMBER
1315,"Classify each of the following exercises as cardio or weights: bench press, running, cycling, squat, jump roping, curl",fully specified,CLAMBER
1390,"Classify the countries based on their continents.
Ethiopia, Nigeria, Angola, India, China, Brazil, Mexico",fully specified,CLAMBER
1586,"Classify each of the following as an American coffee shop chain or an American fast-food hamburger restaurant: Starbucks, Dunkin Donuts, McDonald's, In-N-Out, Dutch Bros, Coffee Bean & Tea Leaf, Burger King, Carl's Jr",fully specified,CLAMBER
1383,Name some of the famous battles from the American Revolutionary War,fully specified,CLAMBER
850,When did the chiefs go to the super bowl?,fully specified,CLAMBER
1195,Which animal is featured on the alfa romeo car logo?,fully specified,CLAMBER
1514,"Tell me which of these are stars or planets: Mercury, Sirius, Betelgeuse, Jupiter, Aldebaran, Saturn, Mars, Rigel",fully specified,CLAMBER
1395,"Tell me whether these golfers are right-handed or left-handed: Phil Mickelson, Sergio Garcia, Bubba Watson, Kevin Na, Carlos Ortiz, Brooks Koepka",fully specified,CLAMBER
824,Who wrote the first code of law that was not subject to the king's will?,fully specified,CLAMBER
844,Which direction does the st lawrence river flow?,fully specified,CLAMBER
1344,"Classify each team as a baseball, hockey, soccer, football, or basketball team: New York Yankees, Florida Panthers, Manchester United, Philadelphia 76ers, Milwaukee Bucks, Seattle Seahawks, Texas Rangers, Dallas Cowboys, Philadelphia Union",fully specified,CLAMBER
1032,The head of the radius articulates with which structure and bone?,fully specified,CLAMBER
1151,Who wrote the wealth of nations john maynard keynes friedrich engels adam smith milton friedman?,fully specified,CLAMBER
1109,Who began the first dynasty of egyptian rulers?,fully specified,CLAMBER
929,Who plays the mom in diary of a wimpy kid long haul?,fully specified,CLAMBER
1732,"Matthew told Joshua that he supported the client.
Who supported the client?",fully specified,CLAMBER
1262,"Classify the following as a 'Country', 'State' or 'City': California, Sacramento, Chicago, Singapore, New Delhi, London, Tennessee, New York",fully specified,CLAMBER
1974,"The sister-in-law asked Amanda about the details after she briefly introduced the plan to her.
Who briefly introduced the plan to her?",fully specified,CLAMBER
1374,"Write a short, polite but forceful letter to the City of Toronto requesting they waive their assessed penalty for late submission of the annual home vacancy declaration, which was impossible to file due to an overwhelmed web portal and incorrect backend data for my home.",fully specified,CLAMBER
1649,"The sister-in-law told Amanda that she screamed at the client.
Who screamed at the client?",fully specified,CLAMBER
902,When did the us start issuing social security numbers?,fully specified,CLAMBER
2165,Who is a cast member in the movie Delhi-6?,fully specified,CLAMBER
1093,How many episodes of aot season 3 are out?,fully specified,CLAMBER
1373,"Classify each of the following as either a deciduous or evergreen tree:  Oak, Pine, Spruce, Maple, Fir, Elm",fully specified,CLAMBER
997,Where is the o2 arena in london located?,fully specified,CLAMBER
1399,Tell me a joke involving a bird native to Antarctica.,fully specified,CLAMBER
1948,"Melissa told Jennifer that she escorted the father-in-law.
Who escorted the father-in-law?",fully specified,CLAMBER
910,Who proposed the double helical model of dna?,fully specified,CLAMBER
852,Who does jason sudeikis voice on cleveland show?,fully specified,CLAMBER
1480,How do solar panels work?,fully specified,CLAMBER
1337,List the British prime ministers since world war 2,fully specified,CLAMBER
1115,Who plays simon's dad in the inbetweeners?,fully specified,CLAMBER
2301,In which studio recording was the song Wah-Wah performed?,fully specified,CLAMBER
1866,"The sister-in-law showed Amanda an example picture before she started drawing.
Who started drawing?",fully specified,CLAMBER
1444,Provide a list of benefits of flying first class.,fully specified,CLAMBER
1335,"Describe how you would approach a corporate rebrand. Share your objectives, timeline, required budget and resources, and how you would measure your success.",fully specified,CLAMBER
855,Who plays harry in the amazing spider man 2?,fully specified,CLAMBER
