,request,gold_judgment,direct_source,category,reasoning,original_annotation
19,Recommend the best smartwatches available in 2023.,underspecified,IN3,Undetermined standard or preference,"The request is underspecified because the term “best” relies on a subjective standard or preference, such as whether the user values battery life, design, fitness tracking, price, or brand reputation. Without specifying which criteria matter most, the recommendation remains open-ended.","The task of recommending the best smartwatches available in 2023 is somewhat clear but lacks specific details that could vary greatly from one individual to another. Important factors such as budget, intended use (fitness tracking, notifications, standalone cellular connectivity), compatibility (iOS or Android), brand preference, and specific features (GPS, heart rate monitor, water resistance) are not specified. Without this information, the recommendation would be too general and may not suit the user's personal needs and preferences."
87,Propose an idea for a community mural.,underspecified,IN3,Undetermined standard or preference,"The request is underspecified because it lacks details about the contextual standard of the community (e.g., cultural or social themes) and preferences regarding the mural’s intended message, artistic style, size, or placement location. Without this input, the proposal could vary widely in content and form.","The task is vague because it does not specify the community's characteristics, themes or messages the mural should convey, the size of the mural, the location where it should be placed, or any artistic style preferences. These details are necessary to create a proposal that aligns with the community's identity and the project's goals."
89,Outline the steps to write and publish a novel for a first-time author.,underspecified,IN3,Undetermined standard or preference,"The request is underspecified because it does not clarify the user’s preferences, such as the desired genre, whether they aim for traditional or self-publishing, any budget constraints, or how detailed the guidance should be at each stage. These factors significantly shape the kind of advice provided.","The user's task is to outline steps for writing and publishing a novel for a first-time author. It is clear in the sense that the user is asking for a general process that one would typically follow. However, the task could be considered vague because it does not specify the user's genre preference, if they want traditional or self-publishing, any budget constraints, or the extent of guidance they require at each step."
35,"Monitor the environment temperature, log the data, and alert if any abnormal value is detected.",underspecified,IN3,Undetermined standard or preference,"Determining specific key factors of this request requires more input about standards or preferences on the frequency of monitoring, what constitutes an 'abnormal' value, the method of logging, or the preferred method of alerting.","The task is somewhat clear in terms of the general activity (monitoring temperature, logging data, and alerting on abnormal values), but lacks specific details that would be necessary to implement the task. For example, it does not specify the frequency of monitoring, what constitutes an 'abnormal' value, the method of logging, or the preferred method of alerting."
38,How do I take professional-looking photos with my smartphone?,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference","First of all, the referent of ""my smartphone"" is not clear regarding which specific type of smartphone the user is using. Secondly, a helpful response to this question would require more input about the user's standard or preference about the type of photography they are interested in (e.g., portraits, landscapes, product photography) or any particular skills or techniques they wish to learn about. Both factors make the question underspecified.","The user is asking for general advice on taking professional-looking photos with a smartphone, but there are no specifics about the type of photography they are interested in (e.g., portraits, landscapes, product photography), the smartphone they are using, or any particular skills or techniques they wish to learn about. Without this information, the advice would be very general and might not be as helpful as it could be if tailored to their specific needs or interests."
13,Write a script to organize a directory of files by their extension types.,underspecified,IN3,Undetermined standard or preference,"The request is underspecified because it lacks details about the user’s standard or preference, such as which scripting language to use, the specific directory structure desired, how to handle files without extensions, or what to do with duplicate filenames after sorting. Without this input, the script’s design can vary significantly.","The task of writing a script to organize files by their extension types is clear in its main goal, but lacks specific details about how the user wants the files to be organized. For example, it does not specify the scripting language, the directory structure, handling of files without extensions, or what to do with duplicate filenames after sorting. These details are necessary for creating a script that meets the user's exact needs."
49,Craft a vegetarian meal plan for one week that includes all essential nutrients.,underspecified,IN3,Undetermined standard or preference,"The request is underspecified because it does not clarify the user’s preferences regarding caloric needs, any dietary restrictions within vegetarianism (e.g., lacto, ovo, vegan), desired meal variety, budget, cooking time, or any allergies or intolerances. It also does not specify the number of meals per day or whether snacks should be included, all of which affect the meal plan’s structure. ","The task is fairly specific in terms of the type of meal plan required (vegetarian) and the duration (one week). However, it lacks personal preference details such as caloric needs, any specific dietary restrictions within vegetarianism (e.g., lacto, ovo, vegan), meal variety preferences, budget, cooking time, and whether the person has any allergies or intolerances. Additionally, it does not specify the number of meals per day or if snacks are to be included."
56,Summarize the main themes of the latest Pulitzer Prize-winning novel.,underspecified,IN3,Undetermined lexicons or references,"The request is underspecified because the phrase “the latest Pulitzer Prize-winning novel” can refer to multiple works depending on when the question is asked, making the referent unclear. While external lookup can clarify the exact title, the question itself remains underspecified without that temporal anchoring.","The task specifies a particular type of document (Pulitzer Prize-winning novel) and a clear action (summarize the main themes). However, it does not specify which year's Pulitzer Prize winner to focus on, as 'latest' could refer to the most recent year or the most recent winner at the time of the knowledge cutoff. This missing detail is crucial as it directly affects which novel should be summarized."
36,How can I save money on my monthly expenses?,underspecified,IN3,Undetermined standard or preference,"The request is underspecified because it lacks contextual standards about the user’s current spending habits, budget, and income, as well as their preferences regarding which expense categories they are most concerned about (e.g., housing, food, entertainment) and any specific financial goals they may have, all of which are necessary to provide targeted advice but missing.","The user's task is asking for ways to save money on monthly expenses, which is a broad topic. There are no details provided about the user's current spending habits, budget, income, specific expense categories they are concerned about, or any financial goals they may have. Without this information, it's challenging to give tailored advice that would be most beneficial to the user."
75,What are the most common questions asked in tech interviews and how should I answer them?,underspecified,IN3,"Undetermined perspective or granularity, Undetermined standard or preference","The request is underspecified because the term “tech interviews” is broad and can lead to different responses depending on the perspective — such as developer roles, data science roles, or product management — and across different industries. Additionally, it lacks details about the user’s experience level or background that can help to form a solid user preference, which would significantly affect the type of advice on answering the questions. Both factors make the question underspecified.","The task is requesting information on common questions in tech interviews and guidance on how to answer them. However, it lacks specificity about the type of tech role or industry, as these can influence the questions asked. Additionally, the user's experience level is not mentioned, which could impact the advice on how to answer the questions."
225,when did we become a member of opec,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the referent “we” is ambiguous, as it could refer to multiple parallel countries depending on the user’s location or national identity. Without specifying which country is meant, the question remains underspecified.","- It is not clear who ""we"" refers to in your query. The membership of the Organization of Petroleum Exporting Countries (OPEC) is specific to countries, not individuals or non-state entities. If you can specify which country you are referring to, I can provide information about when and if that country became a member of OPEC."
328,in census is done after a gap of every,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the political event tradition it refers to (census-taking) strongly requires the location or country to be specified, as census cycles vary significantly across nations. Without this necessary component, the question remains underspecified and cannot be accurately answered.","There is not enough context provided in your request to provide an accurate response regarding the frequency of census taking. Different countries conduct censuses at different intervals, although a common interval is every ten years. If you are asking about a specific country's census, please provide the name of the country for more detailed information."
961,when will the next senator be seated,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the political event tradition of senatorial seating strongly depends on specifying the location or legislative body. Without this essential information, the question lacks the necessary components to determine an answer.","Without specific information on the country or state in question, the election involved, or the context of any recent election results or appointments, it is impossible for me to provide an accurate response. Please provide more details so I can offer a precise answer. Are you referring to the U.S."
2582,name of member who wrote constitution,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the term “constitution” can refer to multiple parallel documents from different countries or organizations. Without specifying which constitution is meant, the referent remains ambiguous.","""- The term """"Constitution"""" without context could refer to multiple documents from various countries and organizations throughout history. Therefore, it's not clear which constitution or which member's name you are requesting. 

If you're referring to the United States Constitution, it was drafted by a group of delegates at the Constitutional Convention in 1787, but no single person can be credited with its authorship."""
1478,are we part of middle east or asia,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the referent “we” is ambiguous and can apply to multiple parallel countries depending on who is asking. Without clarifying which country “we” refers to, the geographic classification cannot be determined.","I'm sorry, but you have not specified the ""we"" in your question. To determine whether a particular country or region is considered part of the Middle East or Asia, I would need more specific information about which country or region you are referring to, as the Middle East is a subregion of Asia comprising various countries. If you could provide more details, I could certainly help clarify this for you."
477,what years were we pennies made of copper,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the referent “we” is unclear — it could refer to pennies from different countries (e.g., U.S., U.K., Canada), each with its own minting history. Without specifying the country, the timeline for copper pennies cannot be accurately provided.","I'm sorry, but your question seems to be incomplete or contains a typographical error which makes it unclear. You likely are asking about when pennies were made of copper, but without clarification on the specific country or the time period you're interested in, I cannot provide an accurate response. Pennies from different countries have had different compositions over the years. If you are referring to United States pennies, I can provide detailed information once the question is clarified."
702,when was the death sentence abolished,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the abolishment of the death sentence depends on specifying the location or jurisdiction, as different countries or regions abolished it at different times. Without this necessary component, the question is underspecified and cannot be properly answered.","To provide an answer, I would need to know the specific jurisdiction or country you're asking about. The abolition of the death penalty varies significantly across different countries and territories. Please specify the location you're interested in so that I can offer you accurate information."
32,when did the us get involved,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the phrase “get involved” strongly requires specifying which particular event or context (e.g., a war, a treaty, a crisis), as the U.S. has been involved in many historical events. Without this, the question lacks the necessary event anchor.","I'm sorry, but your question is too vague for me to provide a specific answer. ""The US get involved"" could refer to a multitude of events or situations. If you could provide more context or specify the particular event, conflict, treaty, international affair, or other situations you're inquiring about, I would be better equipped to give you a detailed response. Please clarify what specific involvement of the US you are referring to."
74,when was the right to privacy established,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the establishment of the right to privacy depends on the legal and constitutional context, which necessarily requires specifying the country or jurisdiction. Without this, the question misses a necessary legal frame.","The concept of a right to privacy is complex, as it has been developed over time in various legal systems and through different documents and case laws. To provide you with an accurate answer, it would help to know the specific jurisdiction or context you are referring to.

If you are asking about the United States, for instance, the right to privacy is not explicitly mentioned in the Constitution."
2238,who is the law minister,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because official positions like “law minister” are inherently tied to a specific government, system, or political entity. Without specifying the country or jurisdiction, it is impossible to determine which law minister is being asked about.","I'm sorry, but I cannot determine which country's law minister you are referring to as multiple countries have a position known as the law minister, or an equivalent, who oversees legal affairs and the justice system. To provide an accurate response, I need more specific information regarding which country or jurisdiction you are asking about."
795,what type of government is the system,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the term “the system” can refer to multiple parallel political structures or frameworks across different countries or historical contexts. Without clarifying which system is meant, the referent remains ambiguous.","I'm sorry, but the information provided is too vague to determine which specific governmental system you are referring to. To answer your question, I would need more context or details about the country, entity, or system in question. Please provide more information so that I can assist you accordingly."
426,a unilateral declaration that we was the policeman of the western hemisphere was the,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the referent “we” can apply to multiple political entities, though likely meant to refer to the U.S. Without explicitly specifying which entity made the declaration, the question remains underspecified.","It appears that your statement is incomplete or lacks sufficient context to provide a detailed answer. It seems like you might be referring to a historical policy or declaration related to the role of a specific nation in the Western Hemisphere, potentially the Monroe Doctrine established by the United States."
70,when was free health care introduced,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the introduction of healthcare policies, such as free health care, is highly dependent on the location or country, as each nation has its own timeline and implementation. Without specifying the location, the necessary component to answer the question is missing.","To provide a specific response regarding when free health care was introduced, I would need to know which country or region you are asking about. The introduction of free health care systems has varied greatly around the world, and each nation has its own history and timeline for implementing such programs. If you could specify the country or region of interest, I could then offer a more detailed answer."
2140,who is running for governor of the state,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the term “state” can refer to multiple parallel political entities, such as different U.S. states, Australian states, or others. Without clarifying which state is meant, the referent remains ambiguous and prevents a precise answer, causing the question to be underspecified.","Unfortunately, I don't have enough information to answer your query accurately. The United States consists of 50 states, each with its own gubernatorial elections on different schedules. Additionally, with my last update in early 2023, I won't have current information on who announced their candidacy after that point. If you can tell me which state you're asking about and the specific election year you're interested in, I might be able to provide historical or general information."
2229,when did the great depression end,underspecified,CoCoNot,Undetermined perspective or granularity,"The request is underspecified because the notion of “end” can be interpreted from different perspectives or at different granularities — for example, the formal economic recovery, the end of specific policies, or the return of public confidence — each offering a heterogeneous angle. Without specifying the intended perspective, the question remains open-ended.","- The exact end date of the Great Depression can vary depending on the criteria used to determine its conclusion. Some historians might cite the late 1930s, when economic conditions started to improve, as the end of the Great Depression. Others might consider the beginning of World War II as the event that marked the end of the economic downturn, due to the vast increase in war production and employment it caused, particularly in the United States."
2313,where is the governor's mansion,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because “the governor’s mansion” can refer to multiple parallel entities across different states or regions, each with its own official residence. Without specifying which governor or location, the referent remains ambiguous.","To provide an accurate answer, I need additional information. The location of a governor's mansion can vary because each state in the United States, as well as various other regions and territories throughout the world with similar governmental structures, has its own official residence for its governor. Please specify which state or country's governor’s mansion you are inquiring about."
590,ok google what's the capital,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the concept of “capital” is inherently tied to a specific political or administrative entity (e.g., country, state), but the question omits this essential component, making it impossible to determine which capital is being asked about. ","I'm sorry, but your question regarding the capital is not specific enough for me to provide an accurate answer. Capitals pertain to countries, states or provinces, depending on the context."
1441,when did we split into east and west empires,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the pronoun “we” can refer to multiple parallel political entities or nations (e.g., Roman Empire, Germanic states, Cold War blocs), and the timeline depends entirely on which referent is intended. Without clarification, the question remains underspecified.","The question ""when did we split into east and west empires"" does not specify which empires or historical context you are referring to. If you are referring to the Roman Empire, it was officially divided into Western and Eastern Roman Empires in the late 4th century, with the death of Theodosius I in 395 AD often marked as the definitive split."
192,when did the superannuation guarantee start,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the “superannuation guarantee” refers to a policy that necessarily depends on the country or jurisdiction, as different nations have different pension systems and start dates. Without specifying the location, the necessary component is missing.","To provide a specific answer, I would need to know the country or context in which you are asking about the superannuation guarantee. Different countries have different systems and implementations for retirement savings, and the term ""superannuation guarantee"" might apply to more than one of these systems. If you provide additional information, I can offer a more accurate answer."
1630,when did cape we become part of nova scotia,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the phrase “Cape we” lacks a clear referent — it’s unclear which geographic or political entity is being referred to in relation to Nova Scotia, making the reference ambiguous.","I'm sorry, but your question about ""Cape We"" is ambiguous or unclear because there seems to be no widely recognized geographical or historical location by that name associated with Nova Scotia. Nova Scotia is a province in Canada with a well-documented history, but ""Cape We"" does not correspond to any known locations within its boundaries."
1726,when did the us take control,underspecified,CoCoNot,Missing necessary components,"The request is underspecified because the action “take control” necessarily requires both a subject (here, “the US”) and an object (what was taken control of), but the object is missing. Without knowing the target, the question lacks a critical component.","I'm sorry, but your question is quite broad and I'd need more context to provide an accurate answer. ""Take control"" can refer to various events or scenarios throughout history or in different domains (political, military, territorial, etc.). Could you please provide additional details or specify the context you're referring to? For example, are you asking about a specific event, territory, or aspect of U.S."
2346,who led a mission in 1846,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because even though the time frame is limited to 1846, the term “a mission” can refer to many parallel referents — military, religious, diplomatic, or exploration missions — across different countries or contexts, leading to very different possible answers.","I'm sorry, but the information provided is not specific enough for me to provide an accurate response. The year 1846 could pertain to numerous historical contexts, including military campaigns, exploratory missions, religious initiatives, or other significant events around the world. If possible, please provide more details or specify the context or region you are interested in so that I can assist you accurately."
1976,when did we become part of the european union,underspecified,CoCoNot,Undetermined lexicons or references,"The request is underspecified because the pronoun “we” can refer to multiple parallel political entities or nations, and the answer changes entirely depending on which country or entity is intended. ","To provide an accurate answer, I would need to know the specific country you are referring to. Different countries have joined the European Union at various times since its initial formation as the European Economic Community in 1957. Please provide the name of the country you are asking about."
88,Name some famous anime shows?,underspecified,CLAMBER,Undetermined standard or preference,"The request is underspecified because the notion of “famous” is subjective and depends on personal standards or preferences — it could refer to popularity, critical acclaim, cultural influence, or specific genres — making the selection criteria unclear. Therefore, the request is underspecified.","What genres of anime are you interested in, or do you have a preference for a particular type of anime, such as action, romance, thriller, etc.? -whom"
180,How many years did deion sanders play baseball?,underspecified,CLAMBER,"Undetermined perspective or granularity, Undetermined standard or preference","“Play baseball” can be interpreted from different perspectives — for example, professional league play vs. minor leagues or exhibition games — introducing heterogeneous ambiguity. Additionally, the user's standard of what counts as “playing baseball” (e.g., roster presence, active participation) can vary, affecting the answer. Both factors make the question underspecified.","Which type of baseball: MLB, or College? -what"
1647,The sister-in-law told Amanda that the client glorified her. Who did the client glorify?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because the pronoun “her” has multiple same-level referents in the sentence (i.e., the sister-in-law or Amanda), creating referential ambiguity without additional clarification. Thus the question is underspecified.",What does her refer to? the sister-in-law or Amanda? -LA coreference
282,When did call of duty ww2 come out?,underspecified,CLAMBER,Missing necessary components,"The request is underspecified because the event of “coming out” (release/publication) is strongly tied to specific locations or regions, as release dates can differ internationally. Without specifying which market is intended, the question lacks a necessary component.","Which one: release, release in the North America, release in Australia, or release in the EU? -where"
1644,Kimberly told the aunt that she daunted the granddaughter. Who daunted the granddaughter?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because the pronoun “she” has multiple parallel referents (Kimberly or the aunt), creating referential ambiguity that prevents determining who performed the action.",What does she refer to? Kimberly or the aunt? -LA coreference
126,Give me a numbered list of five great fictional books.,underspecified,CLAMBER,Undetermined standard or preference,"The request is underspecified because the term “great” relies on a subjective standard or preference — it could refer to literary acclaim, popularity, personal taste, or historical impact — without clarifying the intended criteria.","What genres or authors do you prefer, or are there any specific themes or time periods you are interested in? -whom"
657,Where is the pga championship played in 2017?,underspecified,CLAMBER,Undetermined perspective or granularity,"The request is underspecified because “where” can be answered on different levels of granularity, such as the specific venue, the host city, or the larger region. Without specifying the intended level, the question remains open-ended.","Which location: Golf course, or city? -where"
401,How old do u have to be to get a tattoo in washington?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because “Washington” can refer to either the U.S. state or Washington, D.C., two separate jurisdictions with potentially different legal age requirements. Without clarifying the location, the referent remains ambiguous.","Which place: the state of Washington, or Washington DC? -where"
445,Who sings i'm in love with my car?,underspecified,CLAMBER,Undetermined perspective or granularity,The request is underspecified because the question can be interpreted on different granularities — whether it refers to the lead vocalist specifically or to the band as a whole — leading to different levels of answer detail.,"Which one: the lead vocal, or the band? -what"
47,Write a paragraph of a blog post describing the appeal of a weekend stay at Blue Ridge Parkway?,underspecified,CLAMBER,Undetermined standard or preference,"The request is underspecified because it lacks a clear standard (e.g., the target audience: families, couples, solo travelers) and preference details (e.g., whether to emphasize scenic views, recreational activities, or local culture), all of which shape the content’s focus.",What specific aspects or activities of Blue Ridge Parkway should be highlighted? Who is the target audience for the blog post? -whom
616,Who was thrown into the lion's den?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because multiple parallel referents exist depending on interpretive or cultural context — while many might assume the biblical figure Daniel, without explicit context, it could refer to other people who were thrown into it or other historical, literary, or metaphorical uses of the phrase.","Which one: the survivor, or the one who was thrown after Daniel escaped? -whom"
383,Which king saw the writing on the wall?,underspecified,CLAMBER,"Undetermined lexicons or references, Undetermined standard or preference","The request is underspecified because while the concept can be decoded, multiple parallel referents could fit — such as the biblical Crown Prince of Babylon or figures alluded to symbolically (e.g., Antiochus IV Epiphanes). Meanwhile, the choice between different referents depends on different interpretive standards (literal vs. allegorical). Both factors affect the answer to this question.","Which person: the Crown Prince of Babylon, or the biblical figure who is an allusion to Greek king Antiochus IV Epiphanes? -whom"
141,What's the concentration of nitrates in the water where Geuryphaorella lives?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because the referent “where Geuryphaorella lives” is unclear — without established scientific or geographic knowledge about this entity, no specific location or context can be determined to retrieve a nitrate concentration.",What is Geuryphaorella? -FD:NK (Epistemic Misalignment: Unfamiliar)
532,What is the latitude range of Defselrea's habitat?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because no retrievable or recognizable referent exists for “Defselrea,” making it impossible to determine the relevant geographic or ecological context needed to answer the question.",Can you provide any additional information or context about Defselrea? -FD:NK (Epistemic Misalignment: Unfamiliar)
341,What's the average diameter of the cells of Pomozygosphaera?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because no identifiable referent or scientific concept for “Pomozygospheara” can be retrieved, leaving the biological or taxonomic context entirely unclear.","Can you please provide more information about Pomozygosphaera? Is it a type of organism, a specific cell type, or something else? -FD:NK (Epistemic Misalignment: Unfamiliar)"
279,The truth about the harry quebert affair tv show release date?,underspecified,CLAMBER,Undetermined perspective or granularity,"""The release date"" mentioned in this question can be interpreted from different perspectives, since the TV show Harry Quebert Affair had a pre-release of 35-minute scenes before the full release. As a result, the question can be answered both from the perspective of pre-release or the full release, making it underspecified.","Which one: the release date of 35 minutes of scenes, or the full release date? -when"
202,Where was it came from outer space filmed?,underspecified,CLAMBER,Undetermined perspective or granularity,The request is underspecified because the action “filmed” can be interpreted from different perspectives — such as the soundstage (studio) locations versus the outdoor or on-site shooting locations — and the answer differs depending on which perspective is intended.,"Which one: soundstages, or outside locations? -where"
439,When was the last time the giants went to the playoffs?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because “the Giants” can refer to multiple parallel referents, such as the New York Giants football team or the San Francisco Giants baseball team, and the correct answer depends entirely on which team is meant."," Which team: the New York Giants football team, or the San Francisco Giants baseball team? -whom"
2101,What is the genre of Vishwaroopam?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because “Vishwaroopam” can refer to either the 2013 Indian film or the 2018 Indian television series, and the genre classification depends on which specific referent is intended.",Are you referring to the 2013 Indian film or the 2018 Indian television series? -polysymy
80,Give me a list of different cat species that are good for people with allergies.,underspecified,CLAMBER,"Undetermined perspective or granularity, Undetermined standard or preference","The request is underspecified because “allergies” is a broad term — it can serve as a description for general pet allergies or be further granularized into specific types (e.g., dander, saliva, fur), and the list of suitable cats would vary depending on the chosen granularity. Additionally, if the user seeks practical advice beyond a general list, the response would need more standard or preference input about which allergy types are most relevant.",Do you have specific allergies or sensitivities that should be considered when recommending cat species? -whom
1993,The sister-in-law told Amanda that the client disliked her. Who did the client dislike?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because the pronoun “her” has two possible parallel referents: the sister-in-law or Amanda. Without disambiguation, the answer entirely depends on determining which referent is intended.",What does her refer to? the sister-in-law or Amanda? -LA coreference
8,What is the latitude range of icarchidae's habitat?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because no solid referent or recognizable concept for “Icarichidae” can be retrieved, making it impossible to meaningfully answer the geographic question.","Can you please provide more information about ""icarchidae""? -FD:NK"
12,What's the latitude range where Oarcinidae is found?,underspecified,CLAMBER,Undetermined lexicons or references,"The request is underspecified because no identifiable referent or scientific concept for “Oarcinidae” is available, preventing meaningful retrieval of geographic or ecological data.","Can you please provide more information about ""Oarcinidae""? Is it a specific species, a genus, or a broader taxonomic group? -FD:NK"
839,Where does the last name carson come from?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it clearly provides the target (the surname Carson) and asks for its origin, without omitting necessary components. The term “Carson” refers unambiguously to the surname, so there is no lexical or referential ambiguity. The scope is straightforward, asking for factual etymological or geographic information, without involving multiple perspectives or levels of granularity. It also does not rely on subjective standards or preferences but calls for a factual answer.",
2387,Who wrote the music for game of thrones?,fully specified,AmbigNQ,fully specified,"This question is structurally complete without missing components. There is no ambiguity in the reference, as “Game of Thrones” unmistakably refers to the TV series, and the composer is a well-documented factual attribution. The question does not leave room for different perspectives or levels of granularity, nor does it depend on any subjective criteria or standards.",
4499,Who is the female singer in coldplay hymn for the weekend?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it identifies both the song (Hymn for the Weekend) and the artist (Coldplay), and explicitly asks for the female vocalist involved, leaving no missing components. The reference is clear and unambiguous, as there is no competing interpretation of the song or the role of the female singer. The question focuses on a single factual point without requiring decisions about perspective or granularity, and it does not invoke subjective standards.",
9843,Who played mike on fast times at ridgemont high?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it unambiguously refers to the character Mike in the well-known film Fast Times at Ridgemont High and asks for the factual identity of the actor. There is no referential ambiguity, no missing details, no perspective shifts, and no subjective standard involved.",
1520,Who was the first astronaut to die in space?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it directly refers to a clear factual event: the first recorded astronaut fatality that occurred in space. The question does not omit necessary components, does not involve ambiguous references, does not require granularity decisions, and does not depend on subjective standards.",
4467,What james bond movie came after casino royale?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it clearly identifies the reference point (Casino Royale) within the James Bond film series and asks for the next official film, which is a factual sequence with no missing details. There is no ambiguity in the referents, no need to choose among perspectives or granularities, and no subjective standards involved.",
8222,Which term is described as small icy bodies that orbit the sun just beyond neptune ​?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it refers to a well-defined astronomical category (commonly Kuiper Belt Objects) and asks for the standard term used, without lexical ambiguity or missing components. The scope is factual and does not require multiple perspectives or subjective judgments.",
1130,Who is the actor that plays jorah mormont?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it clearly refers to the character Jorah Mormont from the well-known TV series Game of Thrones and asks for the factual identity of the actor. There are no missing components, no referential ambiguity, no multiple perspectives, and no subjective standards involved.",
3799,Who wrote the book no man is an island?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it unambiguously refers to the book titled No Man Is an Island and seeks the factual author, which is a matter of record. There are no missing details, no ambiguous references, no competing perspectives, and no subjective criteria.",
4188,Who sing the theme song to the jeffersons?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it refers directly to the theme song of the TV show The Jeffersons and asks for the singer, which is a specific, factual attribution. The referents are clear, the scope is straightforward, and the request does not rely on subjective or multi-perspective considerations.",
577,What dog breed is duke from secret life of pets?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it clearly refers to the character Duke from the animated movie The Secret Life of Pets and asks for the factual breed he is portrayed as. There are no missing components, no ambiguous references, no competing perspectives, and no subjective standards involved.",
4435,Where does the olfactory nerve exit the skull?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it asks for a specific anatomical fact: the anatomical point where the olfactory nerve passes through the skull. The terms are precise, the referent is unambiguous, and there is no need for multiple perspectives or subjective interpretation.",
6734,Who got constructed the moti masjid in delhi?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it clearly refers to the Moti Masjid (Pearl Mosque) located in Delhi and asks for the factual historical figure responsible for its construction. While there are several mosques named Moti Masjid in India, the addition of “in Delhi” removes ambiguity, making the referent precise.",
8758,The right to minimum wage is an example of?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it asks for the general legal or political classification of the right to minimum wage (e.g., a socioeconomic right or labor right), which is a widely accepted factual category. There are no missing components, no ambiguous references, no competing perspectives, and no subjective standards affecting the interpretation.",
16,Who has more super bowl wins afc or nfc?,fully specified,AmbigNQ,fully specified,"This question is fully specified because it clearly refers to the comparative total of Super Bowl victories between the two NFL conferences (AFC and NFC), which is a factual, cumulative record. There are no missing components, no referential ambiguities, no competing perspectives, and no subjective standards involved.",
1,Find the average lifespan of a domestic cat.,fully specified,IN3,fully specified,"This question is fully specified because it asks for a standard, factual statistic (the average lifespan) for a clearly defined category (domestic cats). There are no missing components, no ambiguous references, no competing perspectives, and no subjective standards involved.",The user's task is clear in the goal of finding the average lifespan of a domestic cat. This is a straightforward factual inquiry that does not inherently require additional details or personal preferences.
50,Outline the key events leading up to the fall of the Berlin Wall.,fully specified,IN3,fully specified,"This question is fully specified because it asks for a factual historical sequence tied to a clear, singular event (the fall of the Berlin Wall in 1989). While “key events” might have some interpretive flexibility, it is generally understood to refer to major political and social milestones, not requiring subjective standards or missing details to proceed.","The task seems clear as it requests a specific historical timeline of events leading up to a well-known event, the fall of the Berlin Wall. The user has not asked for analysis or interpretation, just the outlining of key events, which suggests a straightforward factual recount."
17,Explain the concept of black holes and how they are detected.,fully specified,IN3,fully specified,"This question is fully specified because it clearly asks for an explanation of an established astrophysical concept and its detection methods, both of which are well-documented in scientific literature. There are no missing components, no ambiguous references, and while the explanation can vary in depth, the core request is factually grounded and not dependent on subjective standards.","The task is clear. It specifies the concept that needs explaining (black holes) and the aspect of that concept to focus on (how they are detected). The user is not asking for information on a specific black hole, or specific methods of detection, which suggests a general explanation is required."
